id,word
1,<eos> by lineup apart ballot victim below the <unk> represent sharply N slightly of to social a further in behind
2,avoiding coup labor-management vision repeatedly engine the causing caught <unk> <eos> panama N to us$ bids of a giant and
3,at tonight brokers trader traders broker onto debate covering expanding the write <unk> <eos> file space N vote design of
4,<eos> and reads to is with glass the <unk> N of a in 's that for $ it said on
5,is pit contract transferred inhibit index contracts <eos> and remains or revamped locked exchanges swiftly allied clothes trader contribute wheat
6,cities\/abc insight appreciation punishment criteria formation markets gains expenditure confiscated inflows requirements expenditures sentences marking nrm entrepreneurs outlays funding base
7,u.s.s.r. rothschilds 300-day beebes hacker 1920s carolinas verge naczelnik heaviest continent cubans emergence cftc shah ferc exchequer remainder sidelines midst
8,'s invests struggles downgraded expects exercises resembles regrets intends pulls helps reduces exceeds presents supposedly turns tries landed enters aired
9,notably some tighten lacking citibank processed establishing disagree incurred improving merged surveyed sand boosting prefer stood intent enter covering accounted
10,looming contemplating retiring benefiting suing steering slated contingent considering interrupted doubtful incredible investigating pegged prohibited preparing prudent morally catching creeping
11,respective spouses teeth affidavits input payouts sights 52-week dislike breath daughters ambitions sovereignty current-carrying wives careers own lives hats turf
12,spite limbo addition multiples principle connection anticipation leipzig jeopardy somalia supplemental omaha kuala chile september newark august obtaining prison determining
13,instance example re-election representation maneuver negligence wendy refined renewal overnight manufactured law-enforcement duty-free bargains theatrical elders disruptions delivery violating buses
14,unavailable cheered booked committing dashed defeated deemed instrumental expelled injured mixed mistakenly touched suspended scrambling arrested besieged weighted dispatched underwritten
15,minor subscription marginally outsider neutral negligible permissible mildly forum encourages artificially enemy reinforced modestly portions partially undercut prescription threatens horrible
16,u.s.s.r. rothschilds 300-day beebes 1920s hacker naczelnik continent verge carolinas heaviest emergence cubans cftc shah ferc exchequer remainder sidelines midst
17,unlikely high-risk high-interest confused disturbing vulnerable shaky sensitive convinced loyal interesting disappointed nervous competitive hot difficult the attractive <unk> committed
18,directly christian convertible the <unk> <eos> N notes of to a in and heavy previously below above 's for that
19,board chunks blocks influx chunk bankruptcy-court chicken omnibus insider-trading brains mistake last-minute direct-mail homer importer salon tokyo-based cruise appealing toxic
20,altogether halts arena swelled halt outfit dayton championship startling equitec cook abuses techniques esselte disappear asarco amounted strategies tapes schering-plough
21,rothschilds beebes hacker u.s.s.r. 300-day 1920s naczelnik verge carolinas continent heaviest cftc cubans emergence shah ferc exchequer remainder sidelines midst
22,conception plunging adjusting posting announcing resigning leaping gregory barnett shooting reviewing climbing completing hitting placing cooling revamping bologna failing sentencing
23,of wires releases cheered conference briefing summary portions sends stories ron va photos hambrecht release concerning wire interviewed sounds box
24,the <unk> <eos> N of to a in and itself 's that for $ is it said on by at
25,bankrupt insolvent the <unk> <eos> illegal effective protect N of to a in and reached itself d. 's that for
26,<unk> <eos> shoot posted in particularly while including h.f. stabilized single-a humor jefferson altogether retreated reacting lady firmed lagged hitting
27,oversubscribed dragged named misstated renamed quoted shocked elected evident insufficient born incorrectly robbed sporadic unloading greeted portrayed rocked confined attributable
28,are is distributes battled dependents builds oversees monitors competes reduces prohibits swung assumes owns generates directs operates drafted retrieve gartner
29,journal blues erased loved praised chris 's column reacted foley firms bearing recruiting <eos> lights avoided shake suggesting blocking rivals
30,verge continent u.s.s.r. 300-day rothschilds beebes hacker 1920s heaviest naczelnik carolinas cubans emergence cftc shah ferc exchequer remainder sidelines midst
31,gathered perestroika cathay succeeding the <unk> <eos> described N regional of to a in and allow went 's that for
32,carolinas naczelnik emergence cubans u.s.s.r. 300-day rothschilds beebes 1920s hacker continent heaviest verge cftc shah ferc exchequer remainder sidelines midst
33,spite limbo addition multiples principle connection anticipation leipzig jeopardy somalia supplemental omaha kuala chile september newark august obtaining prison determining
34,pickers exchange manipulation indexes markets split market prices peaked exchanges lesk speculators payable bargains regained <eos> rises a.c. commentary purchases
35,the <unk> it union unscrupulous specially underground mercedes constraints hopefully pro-life minorities fame neighbors computer-driven non-violent unilever mancuso protesters abortion-rights
36,at tonight brokers trader traders broker onto debate covering expanding the write <unk> <eos> file space N vote design of
37,in pickers exchange manipulation indexes split peaked exchanges lesk speculators payable regained bargains rises a.c. commentary market swap skidded harper
38,portions stops zeta versions vacation sick fujis tickets anytime <eos> stocks its a all an trigger mips instructions programs long-distance
39,recruit mazda fiat the attractive <unk> <eos> N developing vehicles regulatory of brands to a in and priced available personal
40,same u.s.s.r. rothschilds 300-day beebes 1920s hacker carolinas verge heaviest naczelnik continent cubans cftc emergence shah ferc exchequer remainder sidelines
41,est edt N and the <unk> <eos> to premium closing scheduled tuesday at from an or yesterday they last when
42,exit chunks drastically harmful unwanted unsolicited pieces unwelcome labels gmac ailing feelings contracted tables walking mounting lows beneficiaries protesters bondholders
43,portions stops zeta versions sick fujis tickets anytime vacation trigger mips instructions programs saks recommendation long-distance steam high-quality heating removed
44,breakers breaker pro-choice the <unk> <eos> appeals court N of to a in and city view itself 's for that
45,enact stimulate topple revise maximize less-developed satisfy cope tackle analyze capitalize assist regain comply rebuild condemn liquidate soften unload testify
